Failing Cycles 	Signal    	Expected States
C 77             	GPIO_B03  	1              
C 500            	GPIO_B03  	0              
C 502            	GPIO_B03  	0              
C 503            	GPIO_B03  	1              
C 506            	GPIO_B03  	0              
C 507            	GPIO_B03  	1              
C 510            	GPIO_B03  	0              
C 511            	GPIO_B03  	1              
C 514            	GPIO_B03  	0              
C 515            	GPIO_B03  	1              
C 518            	GPIO_B03  	0              
C 519            	GPIO_B03  	1              
C 520            	GPIO_B03  	0              
C 521            	GPIO_B03  	1              
C 522            	GPIO_B03  	0              
C 523            	GPIO_B03  	1              
C 525            	GPIO_B03  	1              
C 527            	GPIO_B03  	1              
C 529            	GPIO_B03  	1              
C 530            	GPIO_B03  	0              
C 531            	GPIO_B03  	1              
C 533            	GPIO_B03  	1              
C 535            	GPIO_B03  	1              
C 539            	GPIO_B03  	1              
C 540            	GPIO_B03  	0              
C 542            	GPIO_B03  	0              
C 543            	GPIO_B03  	1              
C 544            	GPIO_B03  	0              
C 547            	GPIO_B03  	1              
C 548            	GPIO_B03  	0              
C 551            	GPIO_B03  	1              
C 555            	GPIO_B03  	1              
C 559            	GPIO_B03  	1              
C 561            	GPIO_B03  	1              
C 562            	GPIO_B03  	0              
C 563            	GPIO_B03  	1              
C 565            	GPIO_B03  	1              
C 566            	GPIO_B03  	0              
C 569            	GPIO_B03  	1              
C 572            	GPIO_B03  	0              
C 573            	GPIO_B03  	1              
C 574            	GPIO_B03  	0              
C 576            	GPIO_B03  	0              
C 577            	GPIO_B03  	1              
C 579            	GPIO_B03  	1              
C 581            	GPIO_B03  	1              
C 583            	GPIO_B03  	1              
C 585            	GPIO_B03  	1              
C 586            	GPIO_B03  	0              
C 587            	GPIO_B03  	1              
C 588            	GPIO_B03  	0              
C 589            	GPIO_B03  	1              
C 591            	GPIO_B03  	1              
C 592            	GPIO_B03  	0              
C 594            	GPIO_B03  	0              
C 596            	GPIO_B03  	0              
C 597            	GPIO_B03  	1              
C 601            	GPIO_B03  	1              
C 602            	GPIO_B03  	0              
C 603            	GPIO_B03  	1              
C 604            	GPIO_B03  	0              
C 605            	GPIO_B03  	1              
C 606            	GPIO_B03  	0              
C 607            	GPIO_B03  	1              
C 608            	GPIO_B03  	0              
C 609            	GPIO_B03  	1              
C 613            	GPIO_B03  	1              
C 616            	GPIO_B03  	0              
C 617            	GPIO_B03  	1              
C 618            	GPIO_B03  	0              
C 619            	GPIO_B03  	1              
C 620            	GPIO_B03  	0              
C 621            	GPIO_B03  	1              
C 622            	GPIO_B03  	0              
C 623            	GPIO_B03  	1              
C 627            	GPIO_B03  	1              
C 629            	GPIO_B03  	1              
C 630            	GPIO_B03  	0              
C 632            	GPIO_B03  	0              
C 633            	GPIO_B03  	1              
C 634            	GPIO_B03  	0              
C 635            	GPIO_B03  	1              
C 638            	GPIO_B03  	0              
C 640            	GPIO_B03  	0              
C 641            	GPIO_B03  	1              
C 642            	GPIO_B03  	0              
C 645            	GPIO_B03  	1              
C 650            	GPIO_B03  	0              
C 651            	GPIO_B03  	1              
C 653            	GPIO_B03  	1              
C 654            	GPIO_B03  	0              
C 656            	GPIO_B03  	0              
C 658            	GPIO_B03  	0              
C 659            	GPIO_B03  	1              
C 662            	GPIO_B03  	0              
C 663            	GPIO_B03  	1              
C 666            	GPIO_B03  	0              
C 667            	GPIO_B03  	1              
C 670            	GPIO_B03  	0              
C 673            	GPIO_B03  	1              
C 675            	GPIO_B03  	1              
C 676            	GPIO_B03  	0              
C 679            	GPIO_B03  	1              
C 681            	GPIO_B03  	1              
C 683            	GPIO_B03  	1              
C 685            	GPIO_B03  	1              
C 686            	GPIO_B03  	0              
C 687            	GPIO_B03  	1              
C 688            	GPIO_B03  	0              
C 692            	GPIO_B03  	0              
C 695            	GPIO_B03  	1              
C 701            	GPIO_B03  	1              
C 703            	GPIO_B03  	1              
C 705            	GPIO_B03  	1              
C 708            	GPIO_B03  	0              
C 713            	GPIO_B03  	1              
C 716            	GPIO_B03  	0              
C 719            	GPIO_B03  	1              
C 720            	GPIO_B03  	0              
C 725            	GPIO_B03  	1              
C 727            	GPIO_B03  	1              
