Failing Cycles 	Signal    	Expected States
77             	GPIO_B03  	H              
500            	GPIO_B03  	L              
502            	GPIO_B03  	L              
503            	GPIO_B03  	H              
506            	GPIO_B03  	L              
507            	GPIO_B03  	H              
510            	GPIO_B03  	L              
511            	GPIO_B03  	H              
514            	GPIO_B03  	L              
515            	GPIO_B03  	H              
518            	GPIO_B03  	L              
519            	GPIO_B03  	H              
520            	GPIO_B03  	L              
521            	GPIO_B03  	H              
522            	GPIO_B03  	L              
523            	GPIO_B03  	H              
525            	GPIO_B03  	H              
527            	GPIO_B03  	H              
529            	GPIO_B03  	H              
530            	GPIO_B03  	L              
531            	GPIO_B03  	H              
533            	GPIO_B03  	H              
535            	GPIO_B03  	H              
539            	GPIO_B03  	H              
540            	GPIO_B03  	L              
542            	GPIO_B03  	L              
543            	GPIO_B03  	H              
544            	GPIO_B03  	L              
547            	GPIO_B03  	H              
548            	GPIO_B03  	L              
551            	GPIO_B03  	H              
555            	GPIO_B03  	H              
559            	GPIO_B03  	H              
561            	GPIO_B03  	H              
562            	GPIO_B03  	L              
563            	GPIO_B03  	H              
565            	GPIO_B03  	H              
566            	GPIO_B03  	L              
569            	GPIO_B03  	H              
572            	GPIO_B03  	L              
573            	GPIO_B03  	H              
574            	GPIO_B03  	L              
576            	GPIO_B03  	L              
577            	GPIO_B03  	H              
579            	GPIO_B03  	H              
581            	GPIO_B03  	H              
583            	GPIO_B03  	H              
585            	GPIO_B03  	H              
586            	GPIO_B03  	L              
587            	GPIO_B03  	H              
588            	GPIO_B03  	L              
589            	GPIO_B03  	H              
591            	GPIO_B03  	H              
592            	GPIO_B03  	L              
594            	GPIO_B03  	L              
596            	GPIO_B03  	L              
597            	GPIO_B03  	H              
601            	GPIO_B03  	H              
602            	GPIO_B03  	L              
603            	GPIO_B03  	H              
604            	GPIO_B03  	L              
605            	GPIO_B03  	H              
606            	GPIO_B03  	L              
607            	GPIO_B03  	H              
608            	GPIO_B03  	L              
609            	GPIO_B03  	H              
613            	GPIO_B03  	H              
616            	GPIO_B03  	L              
617            	GPIO_B03  	H              
618            	GPIO_B03  	L              
619            	GPIO_B03  	H              
620            	GPIO_B03  	L              
621            	GPIO_B03  	H              
622            	GPIO_B03  	L              
623            	GPIO_B03  	H              
627            	GPIO_B03  	H              
629            	GPIO_B03  	H              
630            	GPIO_B03  	L              
632            	GPIO_B03  	L              
633            	GPIO_B03  	H              
634            	GPIO_B03  	L              
635            	GPIO_B03  	H              
638            	GPIO_B03  	L              
640            	GPIO_B03  	L              
641            	GPIO_B03  	H              
642            	GPIO_B03  	L              
645            	GPIO_B03  	H              
650            	GPIO_B03  	L              
651            	GPIO_B03  	H              
653            	GPIO_B03  	H              
654            	GPIO_B03  	L              
656            	GPIO_B03  	L              
658            	GPIO_B03  	L              
659            	GPIO_B03  	H              
662            	GPIO_B03  	L              
663            	GPIO_B03  	H              
666            	GPIO_B03  	L              
667            	GPIO_B03  	H              
670            	GPIO_B03  	L              
673            	GPIO_B03  	H              
675            	GPIO_B03  	H              
676            	GPIO_B03  	L              
679            	GPIO_B03  	H              
681            	GPIO_B03  	H              
683            	GPIO_B03  	H              
685            	GPIO_B03  	H              
686            	GPIO_B03  	L              
687            	GPIO_B03  	H              
688            	GPIO_B03  	L              
692            	GPIO_B03  	L              
695            	GPIO_B03  	H              
701            	GPIO_B03  	H              
703            	GPIO_B03  	H              
705            	GPIO_B03  	H              
708            	GPIO_B03  	L              
713            	GPIO_B03  	H              
716            	GPIO_B03  	L              
719            	GPIO_B03  	H              
720            	GPIO_B03  	L              
725            	GPIO_B03  	H              
727            	GPIO_B03  	H              
